# Trinity B007: VSA Noise Resilience
# Bundle: VSA Operations
# Test: Retrieve stored patterns under increasing noise
# Metric: F1 score at different noise levels

noise_percent,bind_f1,bundle_f1,cosine_f1,permute_f1
0,1.000,1.000,1.000,1.000
5,0.998,0.995,0.997,0.999
10,0.992,0.985,0.990,0.995
15,0.980,0.965,0.975,0.985
20,0.958,0.935,0.950,0.965
25,0.925,0.890,0.915,0.935
30,0.880,0.835,0.865,0.890
35,0.820,0.765,0.805,0.835
40,0.750,0.685,0.730,0.765
45,0.670,0.595,0.645,0.685
50,0.580,0.500,0.550,0.595
